make,model,version,price,fuel,year,kms,shift,is_professional,dealer,province,publish_date,insert_date
28,551,1330,819,1,35,1157,1,1,2283,29,3387,26
33,549,1701,165,1,25,1971,2,0,1455,13,1368,44
33,256,1682,1070,1,41,5,1,1,2355,29,4932,60
54,272,3073,585,7,35,1689,1,1,1971,29,2856,31
33,152,1521,819,1,37,953,2,1,1954,28,4673,51
33,150,1484,779,1,38,669,1,0,53,38,124,19
41,523,2610,452,1,25,1959,2,1,2586,22,3286,27
3,56,77,158,1,25,1690,2,0,707,29,4087,52
37,417,1835,487,5,37,1032,2,1,1594,7,3243,37
5,472,362,532,1,33,1578,2,1,1244,0,2547,61
54,272,3116,566,5,39,657,2,1,1550,7,2473,15
29,435,1358,903,1,38,582,1,1,2469,8,995,9
3,57,120,95,1,21,1925,2,0,618,18,2935,49
5,468,325,552,5,38,718,2,1,2469,8,4265,46
45,299,2694,104,1,27,1716,2,0,1628,28,1815,2
3,450,298,452,5,25,1736,1,1,2077,36,1505,7
39,13,2093,99,5,27,1717,2,0,1668,44,1672,30
26,585,1319,478,5,39,226,2,1,1537,29,2029,21
54,392,3193,12,1,20,1949,2,0,1912,2,785,23
33,150,1457,136,1,26,1583,1,0,278,44,2458,21
5,559,453,922,1,38,1483,1,1,1938,44,3317,24
3,452,301,823,5,32,1741,1,0,777,29,1899,56
38,302,2027,523,5,38,902,2,1,2473,29,4684,57
54,519,3349,845,1,39,0,1,1,1563,5,3384,33
54,392,3208,533,1,37,1350,1,1,888,7,2883,37
45,84,2674,673,5,39,649,2,1,1606,29,3416,28
16,247,915,590,5,39,1,2,1,898,29,1978,4
8,106,560,675,1,40,2,2,1,1601,49,2423,11
53,546,3017,470,5,37,1238,2,1,1008,49,3951,51
26,586,1324,347,1,36,1520,2,1,2798,47,4388,54
3,56,83,1088,5,38,302,1,1,2730,29,3802,33
26,383,1267,330,1,38,1747,2,1,1370,29,3595,36
41,370,2522,50,5,23,1573,2,0,203,7,2354,29
33,165,1638,532,1,31,1629,1,0,210,21,215,36
38,83,1911,361,1,36,1640,2,1,2099,5,4927,62
33,167,1645,296,5,20,1408,1,1,862,38,1817,25
38,289,2012,738,1,40,5,2,1,2334,44,4097,40
33,159,1608,1127,5,33,821,1,1,2384,31,4809,57
39,21,2180,744,1,39,512,2,1,2642,29,1343,0
37,371,1823,158,5,32,1350,2,0,1689,7,2986,61
5,472,365,132,1,23,1249,2,0,131,31,937,21
16,247,946,261,5,31,1080,2,1,2848,40,1418,9
54,392,3034,164,1,26,1784,2,0,469,28,3283,58
30,123,1386,617,6,39,94,1,1,1583,29,1541,2
16,247,957,39,1,22,2076,2,0,719,3,586,39
20,596,1174,615,5,39,255,2,1,2016,8,271,23
37,263,1782,1153,5,38,222,1,1,2541,38,1077,20
15,40,794,403,5,35,813,2,1,2112,8,3339,36
37,356,1811,65,5,23,1408,2,0,333,7,4472,50
8,105,556,177,5,30,1524,2,1,1191,7,204,19
3,59,194,750,1,36,922,1,1,1091,29,1723,6
16,247,935,363,1,37,1099,1,1,977,44,2150,15
46,381,2835,156,5,25,1798,2,0,49,40,230,14
39,10,2111,767,1,40,1,2,1,2816,10,1595,4
5,473,396,599,1,36,1655,1,1,2456,30,4094,63
53,86,2948,385,6,35,1636,1,1,2113,8,4297,50
41,370,2531,124,1,25,1824,2,1,1180,31,1662,44
5,557,437,352,1,30,1417,1,1,1612,8,2608,14
3,60,206,111,5,22,1814,1,1,811,46,2205,11
33,150,1493,989,5,39,753,1,1,877,15,2409,15
8,92,522,278,1,35,1746,2,1,982,48,2988,42
5,561,467,1016,1,38,410,1,1,1731,29,4417,57
16,229,881,396,5,36,534,2,1,2473,48,3487,36
6,136,489,230,1,27,1600,2,1,1844,7,3027,27
30,297,1394,615,6,34,1146,1,1,2891,36,3471,47
45,338,2637,124,1,23,1904,2,0,647,5,3612,32
3,59,178,405,1,30,1633,1,0,1345,6,861,6
54,392,3195,175,5,29,1820,2,1,1487,29,3729,45
37,374,1828,893,1,40,17,2,1,1083,50,1624,25
5,561,464,491,5,27,1694,1,0,1673,29,1767,11
18,149,1070,139,5,29,1820,2,0,215,26,715,44
15,390,826,382,5,40,1,2,1,824,7,3181,24
38,83,1897,165,1,32,2059,2,1,873,33,4769,57
39,598,2345,352,2,37,598,1,0,468,2,1112,21
16,276,972,352,1,36,1176,2,1,1208,35,2750,37
26,445,1252,29,5,25,1148,2,0,259,7,1279,40
39,28,2232,431,1,31,959,2,0,120,2,318,31
37,367,1820,552,1,31,1544,1,0,435,29,0,14
5,472,361,615,1,36,1005,1,1,2676,29,2842,34
46,241,2808,237,5,36,1222,2,1,1209,31,1515,16
54,519,3034,177,1,28,1796,2,0,328,18,4691,55
35,342,1745,600,5,36,459,2,1,1835,44,3273,32
46,381,2805,59,1,28,1887,2,0,1646,5,128,15
5,468,334,148,1,26,1959,2,0,410,38,3166,25
26,492,1293,773,6,40,259,1,1,2234,7,4493,47
5,472,394,1114,5,25,1517,1,1,2636,46,2155,8
54,392,3193,40,1,23,2001,2,0,40,29,4327,43
53,403,3001,676,6,39,555,1,0,1397,30,242,13
8,277,675,106,1,27,1876,1,1,844,29,4130,45
33,150,1487,456,1,33,1649,1,1,2740,18,1522,9
8,114,650,86,1,24,1864,2,1,1058,40,1017,4
54,400,3259,405,5,38,655,2,1,2149,31,3570,41
33,152,1523,126,1,22,2102,2,1,1053,0,4010,40
45,299,2738,244,5,34,920,2,1,1072,2,3559,31
5,471,346,532,1,36,1234,1,1,2622,29,2755,45
16,247,923,570,1,38,648,1,0,34,29,333,35
3,56,77,158,1,25,1690,2,0,707,29,4087,43
16,254,965,36,1,26,1852,2,0,1770,18,1824,34
41,370,2526,59,1,22,1532,2,0,1347,3,2604,19
38,83,1905,490,5,37,687,1,0,490,7,1073,25
53,188,2980,683,5,40,0,1,1,2397,29,3436,37
13,208,750,473,1,35,950,2,1,2739,45,3105,33
41,175,2405,254,1,36,1249,2,1,2544,12,3097,34
39,13,2145,173,5,28,1494,1,1,2065,2,2457,17
36,178,1753,59,5,27,1383,2,0,580,2,3091,46
54,464,3286,421,5,29,1494,1,1,855,9,4375,47
0,38,11,518,5,35,579,2,1,2532,35,4175,42
41,175,2425,405,1,39,184,2,1,2579,25,987,0
32,126,1425,596,1,36,940,2,1,2060,46,3529,38
16,324,993,649,1,38,642,2,1,1465,30,3697,35
3,60,201,668,1,36,1304,1,1,861,12,3934,39
32,352,1454,56,1,24,1925,2,1,1187,9,2079,6
